[34628:35004:0504/120620.084:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[46896:4584:0504/121024.498:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #366).
[46896:4584:0504/121025.148:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #377).
[46896:4584:0504/121025.167:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #377).
[46896:4584:0504/121025.198:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #378).
[46896:4584:0504/121025.215:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #378).
[46896:4584:0504/121025.250:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #379).
[46896:4584:0504/121025.266:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #379).
[46896:4584:0504/121025.283:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #379).
[46896:4584:0504/121025.299:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #379).
[46896:4584:0504/121025.998:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #391).
[46896:4584:0504/121026.014:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #391).
[46896:4584:0504/121026.031:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #391).
[46896:4584:0504/121026.065:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #392).
[46896:4584:0504/121026.081:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #392).
[46896:4584:0504/121026.098:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #392).
[46896:4584:0504/121026.115:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #392).
[46896:4584:0504/121026.131:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #392).
[46896:4584:0504/121026.165:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #393).
[46896:4584:0504/121026.182:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #393).
[46896:4584:0504/121026.198:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #393).
[46896:4584:0504/121026.231:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #394).
[46896:4584:0504/121026.264:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #395).
[46896:4584:0504/121026.280:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #395).
[46896:4584:0504/121026.299:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #395).
[46896:4584:0504/121026.314:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #395).
[46896:4584:0504/121026.331:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #395).
[46896:4584:0504/121026.348:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #395).
[46896:4584:0504/121026.365:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #395).
[46896:4584:0504/121026.731:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.751:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.764:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.782:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.799:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.815:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.831:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.850:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.865:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.883:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121026.899:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #401).
[46896:4584:0504/121027.499:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #405).
[46896:4584:0504/121027.516:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #405).
[46896:4584:0504/121027.564:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #406).
[46896:4584:0504/121027.582:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #406).
[46896:4584:0504/121027.597:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #406).
[46896:4584:0504/121027.615:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #406).
[46896:4584:0504/121027.631:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #406).
[46896:4584:0504/121027.665:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #407).
[46896:4584:0504/121027.682:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #407).
[46896:4584:0504/121027.716:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #408).
[46896:4584:0504/121027.730:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #408).
[46896:4584:0504/121027.747:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #408).
[46896:4584:0504/121027.781:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #409).
[46896:4584:0504/121027.798:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #409).
[46896:4584:0504/121028.931:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #416).
[46896:4584:0504/121028.963:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #417).
[46896:4584:0504/121028.981:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #417).
[46896:4584:0504/121028.998:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #417).
[46896:4584:0504/121029.013:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #417).
[46896:4584:0504/121029.031:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #417).
[46896:4584:0504/121029.049:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #417).
[46896:4584:0504/121029.064:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #417).
[46896:4584:0504/121030.065:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #428).
[46896:4584:0504/121030.084:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #428).
[46896:4584:0504/121030.098:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #428).
[46896:4584:0504/121030.115:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #428).
[46896:4584:0504/121030.133:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #428).
[46896:4584:0504/121030.149:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #428).
[46896:4584:0504/121030.164:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #428).
[46896:4584:0504/121030.198:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #429).
